tweet_id,created_at,username,user_name,user_followers,text,likes,retweets,replies,views,url,is_reply,in_reply_to
2017788815490847154,Sun Feb 01 02:35:16 +0000 2026,EmilioD18911889,Emilio Dominguez,0,"@SEGIAGUA Seguimos sin presión y con cortes de agua en la colonia Miravalle y no dicen por qué no hay presión ya que en las tomas principales solo hay de 6 am a 1 pm aprox, SEGIAGUA en el eje central me dicen que ellos no ven la presión solo revisan los medidores que eso es de la alcaldía",0,0,1,12,https://x.com/EmilioD18911889/status/2017788815490847154,True,SEGIAGUA
2017776825779556407,Sun Feb 01 01:47:38 +0000 2026,aavila_T,Adrián Avila,15,"@SEGIAGUA @giogutierrezag @Alcaldia_Coy  Una vez más sin agua en Sectores A y B,  Colonia Alianza Popular Revolucionaria, Coyoacán, 04800. Desde el 24 de Diciembre no tenemos solución. Estamos hartos. URGE LA SUPERVISIÓN Y APOYO.   Muchos reportes, muchos mensajes. NADA DE APOYO.",0,0,1,21,https://x.com/aavila_T/status/2017776825779556407,False,SEGIAGUA
2017774150777979132,Sun Feb 01 01:37:00 +0000 2026,almaactriz,Alma Rosa Bernal M,1481,@SEGIAGUA @SEGIAGUA ​ @Alcaldia_Coy @nmas @AztecaNoticias @VILLALVAZO13 @inakimanero @889Noticias  URGENTE SIN AGUA VILLA PANAMERICANA ​ ​COYOACÁN 04700 PEDREGAL DE CARRASCO RINCONADA DE LOS MUSICOS (TODA LA SECCIÓN) ​SIN SUMINISTRO TOTAL / SOLO 1 VEZ X SEMANA ¡URGE SOLUCIÓN! https://t.co/BDIzN7D5zS,0,1,1,103,https://x.com/almaactriz/status/2017774150777979132,False,SEGIAGUA
2017741728191569976,Sat Jan 31 23:28:10 +0000 2026,GabrielGarcaSu1,Gabriel García Suárez,14,@SEGIAGUA @locatel_mx @C5_CDMX Reporto fuga de agua en Av Jardín #136 esq Artemisa col Tlatilco @AzcapotzalcoMx 02860 entre Salvia y Artemisa https://t.co/MC7UKlXrMD,0,0,2,36,https://x.com/GabrielGarcaSu1/status/2017741728191569976,False,SEGIAGUA
2017732174762676499,Sat Jan 31 22:50:12 +0000 2026,Mar13PerezMar18,Marcela P. Arreola,42,@SEGIAGUA  hace 2 semanas abrieron  una  zanja por  fuga de agua  al parecer resuelta con ruptura de drenaje. Sigue corriendo agua !! No se ha presentado en una semana alguna cuadrilla para resolver este problema. Esto es en Moctezuma Oriente  frente no. 16 Romero de Terreros Coy https://t.co/T54dlJxRu8,1,1,1,19,https://x.com/Mar13PerezMar18/status/2017732174762676499,False,SEGIAGUA
2017728361536307598,Sat Jan 31 22:35:03 +0000 2026,pilfernandez,vecinos unidos lomas,273,Otra fuga de agua a la altura de monte chimborazo 527 lomas de Chapultepec @SEGIAGUA @AlcaldiaMHmx CP11000 @comitebarrilaco https://t.co/G82CoXMwiv,0,1,2,108,https://x.com/pilfernandez/status/2017728361536307598,False,
2017695973082792349,Sat Jan 31 20:26:21 +0000 2026,SAPCI_CDMX,Secretaría de Atención y Participación Ciudadana,2355,"El equipo de la #SAPCI, en conjunto con la @SEGIAGUA, continua apoyando a las familias de Tláhuac con el suministro gratuito de agua potable a través de pipas del @GobCDMX. 🚛💧  👉🏼 Solicita el servicio en Locatel *0311 o acércate a nuestro equipo en territorio. https://t.co/gcOfkf2ruL",0,0,0,84,https://x.com/SAPCI_CDMX/status/2017695973082792349,False,
2017690701736083757,Sat Jan 31 20:05:24 +0000 2026,CeciliaMed21161,Cecilia Medellin,0,"@SEGIAGUA , agua sucia ingreso a condominio Jardines de Tlalpan al realizar obras en el pozo del issfam, requerimos de su apoyo para limpieza https://t.co/Q6F6ne4QAx",1,2,1,124,https://x.com/CeciliaMed21161/status/2017690701736083757,False,SEGIAGUA
2017680632164356377,Sat Jan 31 19:25:24 +0000 2026,estefaniahd15,Estefania Hernandez,2,@SEGIAGUA hasta cuando nos dejaran sin agua en torres de potrero delegación Álvaro Obregón?? Ya es una semana.,0,0,1,65,https://x.com/estefaniahd15/status/2017680632164356377,False,SEGIAGUA
2017677982597345753,Sat Jan 31 19:14:52 +0000 2026,annavi__,Anna Avila,933,"@DaaanRios @SEGIAGUA @AlcCuauhtemocMx Seguimos sin agua. El suministro debió reestablecerse a las 5:00am, cierto? (Y el tiempo en vuelve a las cisternas, etc) Pero ya son 8 horas de eso.",0,0,1,37,https://x.com/annavi__/status/2017677982597345753,True,DaaanRios
2017669895815885034,Sat Jan 31 18:42:44 +0000 2026,Ceniza862627,Ceniza,13,@SEGIAGUA @pcacuauhtemoc @AlessandraRdlv @AlcCuauhtemocMx Qué extraño el trabajo inconcluso de una toma de agua lo hizo @SEGIAGUA de quién es la irresponsabilidad? Lo mismo hicieron en Río nazas el año pasado.,0,0,0,11,https://x.com/Ceniza862627/status/2017669895815885034,True,SEGIAGUA
2017666995617988820,Sat Jan 31 18:31:12 +0000 2026,ZACATENCOCDMX,@ZACATENCOCDMX📡alerta,1918,@SEGIAGUA fuga de agua en av.acueducto 869 col.san Pedro zacatenco @TuAlcaldiaGAM  Solicitamos apoyo para arreglar está fuga @locatel_mx https://t.co/dsPiXGWxVA,1,0,3,60,https://x.com/ZACATENCOCDMX/status/2017666995617988820,False,SEGIAGUA
2017665983259816190,Sat Jan 31 18:27:11 +0000 2026,NutriKarenL,𝕶𝖆𝖗𝖊𝖓,219,@SEGIAGUA quisiera saber cuanto tiempo vas a demorar la falta de agua en Torres de potrero,0,0,1,37,https://x.com/NutriKarenL/status/2017665983259816190,False,SEGIAGUA
2017653915609686501,Sat Jan 31 17:39:14 +0000 2026,ivangodry,Darth Vader,198,@SOBSECDMX @SEGIAGUA gran fuga de agua en Avenida Ticoman #985 en @TuAlcaldiaGAM enfrente de “andamios amarillos” …. es mucha agua la que se desperdicia. Ayuda @locatel_mx,0,0,1,48,https://x.com/ivangodry/status/2017653915609686501,False,SOBSECDMX
2017647099324588376,Sat Jan 31 17:12:09 +0000 2026,R3SCATEMOXH2O,SOMOSAGUA RESCATEMOSAGUA,222,@rollospeaches @GobiernoMX @GobCDMX @conagua_mx @SGIRPC_CDMX @SEGIAGUA @Pemex @SEMARNAT_mx Seguimos pidiendo la información sobre #contaminantes en el #agua y exigimos un #plandeRemediación para la zona de #BenitoJuarez y uno integral para el #acuífero,1,1,0,26,https://x.com/R3SCATEMOXH2O/status/2017647099324588376,True,rollospeaches
2017643475886281120,Sat Jan 31 16:57:45 +0000 2026,pilfernandez,vecinos unidos lomas,273,Otra fuga de agua en cofre de perote frente al 273 @SEGIAGUA @locatel_mx en alcaldía Miguel Hidalgo CP11000 @comitebarrilaco @AlcaldiaMHmx,1,1,2,134,https://x.com/pilfernandez/status/2017643475886281120,False,
